name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_70-m_125-k_4-p_0.05.txt,0,0,0,true,0
synth-n_70-m_135-k_8-p_0.05.txt,3,3,0,true,0
synth-n_70-m_156-k_10-p_0.05.txt,4,4,0,true,0
synth-n_70-m_156-k_2-p_0.05.txt,0,0,0,true,0
synth-n_70-m_157-k_6-p_0.05.txt,4,4,0,true,0
synth-n_70-m_159-k_15-p_0.05.txt,4,4,0,true,0
synth-n_70-m_167-k_20-p_0.05.txt,8,8,5,true,1362
synth-n_70-m_180-k_25-p_0.05.txt,7,7,2,true,439
synth-n_70-m_191-k_30-p_0.05.txt,10,10,11,true,2256
synth-n_70-m_258-k_2-p_0.1.txt,2,2,1,true,0
synth-n_70-m_274-k_4-p_0.1.txt,4,4,1,true,7
synth-n_70-m_303-k_8-p_0.1.txt,8,8,6,true,1307
synth-n_70-m_304-k_6-p_0.1.txt,6,6,2,true,175
synth-n_70-m_308-k_10-p_0.1.txt,9,9,20,true,3367
synth-n_70-m_312-k_20-p_0.1.txt,16,16,7129,true,718668
synth-n_70-m_328-k_15-p_0.1.txt,12,12,215,true,31391
synth-n_70-m_342-k_30-p_0.1.txt,19,0,180000,false,18749125
synth-n_70-m_347-k_25-p_0.1.txt,18,18,100627,true,10639290
synth-n_70-m_494-k_2-p_0.2.txt,2,2,1,true,0
synth-n_70-m_538-k_4-p_0.2.txt,4,4,3,true,43
synth-n_70-m_553-k_8-p_0.2.txt,8,8,5,true,170
synth-n_70-m_560-k_10-p_0.2.txt,10,10,60,true,5831
synth-n_70-m_591-k_6-p_0.2.txt,6,6,2,true,101
synth-n_70-m_626-k_15-p_0.2.txt,15,15,1573,true,181835
synth-n_70-m_644-k_25-p_0.2.txt,23,23,172348,true,21716047
synth-n_70-m_645-k_20-p_0.2.txt,20,20,47839,true,5120099
synth-n_70-m_702-k_30-p_0.2.txt,28,0,180000,false,20999054
synth-n_80-m_167-k_2-p_0.05.txt,0,0,0,true,0
